prenom;nom;jour_naissance;mois_naissance;annee_naissance;famille;ad1_numero;ad1_post_code;ad1_ville;ad1_street;ad1_type;ad1_Pays;ad2_numero;ad2_post_code;ad2_ville;ad2_street;ad2_type;ad2_Pays
Aanor;CoolName;25;2;1922;Henry;24;36438;Cardiff;Denfert;DeadEnd;USA;27;36246;Madrid;Pétain;DeadEnd;Grande-Bretagne
Aaran;CoolName;22;3;1954;Henry;79;75969;Casablanca;D'Aguesseau;Boulevard;France;44;40233;Paris;Picasso;Avenue;France
Aaricia;Coisne;15;1;1925;Paul;32;85689;Londres;Pernetti;Avenue;Maroc;21;48516;Madrid;Denfert;Boulevard;USA
Aaron;CoolName;4;7;1955;Paul;43;25750;New York;Zinedine Zidane;Road;Grande-Bretagne;36;11949;Madrid;de la pompe;DeadEnd;Maroc
Abbon;CoolName;10;3;1965;Henry;51;27847;New York;Voltaire;DeadEnd;France;31;23043;New York;Paul Lelent;Avenue;Maroc
Abby;Martin;22;10;1922;Charles;75;57241;Nantes;Semard;Road;Maroc;2;15091;Los Angeles;Paul Lelent;Boulevard;Maroc
Abdel;Coisne;29;12;1963;Paul;23;32502;Nantes;Royale;DeadEnd;Maroc;48;98595;Miami;Semard;Boulevard;Grande-Bretagne
Abdon;Coisne;6;10;2012;Henry;67;10046;Bath;de la pompe;Street;USA;72;33319;Bath;Tahère;Avenue;USA
Abel;Petit;17;4;2001;Paul;53;58629;Madrid;D'Aguesseau;Boulevard;USA;31;14242;Madrid;Pétain;Avenue;Maroc
Abélard;Coisne;16;3;1990;Henry;36;17258;Casablanca;du Rock;Avenue;Grande-Bretagne;6;16245;Lille;du Fion;Road;Maroc
Abélia;Bernard;25;12;2001;Charles;73;11181;Miami;du Rock;Street;France;44;88655;Marseilles;Pétain;Boulevard;USA
Abella;Petit;14;2;2001;Paul;74;34906;Miami;Gaité;Avenue;USA;4;54272;Paris;de Paris;Avenue;USA
Abigaël;CoolName;2;7;1967;Henry;36;50672;Madrid;de Ségur;Road;Grande-Bretagne;65;42890;Bath;Pétain;Boulevard;Maroc
Abondance;CoolName;12;2;1948;Charles;92;83394;Paris;Voltaire;DeadEnd;Grande-Bretagne;23;92611;Bordeaux;Jean Valjean;Avenue;USA
Abraham;Coisne;17;1;1916;Charles;3;33426;Paris;Obama;Boulevard;Grande-Bretagne;71;50793;New York;Paul Lelent;Avenue;France
Abriel;CoolName;1;12;1955;Charles;39;26513;Paris;Pernetti;Boulevard;Maroc;12;92645;Cardiff;de la pompe;Avenue;Maroc
Acace;Bernard;29;6;1995;Charles;7;54596;Nantes;des Princes;DeadEnd;France;77;20994;Bordeaux;D'Aguesseau;DeadEnd;USA
Achahildis;Coisne;4;7;1980;Henry;98;20471;Madrid;Semard;Street;Maroc;10;87459;Londres;de Ségur;DeadEnd;USA
Achille;Petit;26;5;2011;Charles;44;57630;Casablanca;Pétain;Road;USA;36;17279;Casablanca;Obama;Road;Grande-Bretagne
Acmé;Martin;12;3;1992;Henry;36;19669;Lille;Obama;Boulevard;France;71;46414;Los Angeles;de Ségur;Boulevard;France
Ada;CoolName;2;3;1936;Henry;66;64433;Miami;Pernetti;Boulevard;Maroc;98;73550;Londres;De Gaulle;DeadEnd;France
Adalard;Bernard;5;2;1997;Charles;66;76252;Bath;Voltaire;Road;Maroc;64;11137;Miami;Denfert;Avenue;France
Adalbert;Coisne;7;4;1939;Henry;9;73594;Nantes;Semard;Boulevard;USA;25;57721;Miami;Semard;Boulevard;USA
Adalric;Bernard;2;10;2006;Charles;49;50591;New York;Pétain;Road;France;62;56772;Cardiff;Voltaire;Street;France
Adalsinde;CoolName;8;6;1991;Paul;93;53792;Nantes;Gaité;Street;Maroc;71;38878;Lille;Paul Lelent;Boulevard;USA
Adam;Coisne;11;5;1980;Henry;17;29690;Lille;Obama;Avenue;USA;21;68755;Londres;de Paris;DeadEnd;USA
Adama;Bernard;17;8;1966;Charles;52;60882;Bordeaux;Voltaire;Road;France;17;80975;New York;de la pompe;Boulevard;Grande-Bretagne
Adélaïde;Coisne;10;12;1958;Henry;38;62623;Casablanca;Obama;Road;France;90;85656;Lille;Tahère;DeadEnd;Maroc
Adélaïs;Coisne;30;3;2004;Henry;17;50063;Londres;Gaité;Street;France;25;88667;Londres;Paul Lelent;Boulevard;USA
Adélard;Martin;5;1;1973;Henry;91;44814;Nantes;Picasso;DeadEnd;Maroc;82;18484;Nantes;Gaité;Road;USA
Adèle;Bernard;8;9;1964;Paul;1;44879;Bordeaux;D'Aguesseau;DeadEnd;Grande-Bretagne;4;78157;Miami;Royale;Road;Grande-Bretagne
Adelice;Bernard;30;3;1971;Charles;61;71361;Bordeaux;Tahère;Road;France;91;34502;Paris;Obama;Boulevard;Grande-Bretagne
Adélie;Petit;10;7;1990;Henry;59;90606;Bordeaux;Denfert;Boulevard;Maroc;84;95208;Marseilles;Denfert;Road;USA
Adelin;CoolName;22;7;1917;Paul;67;61150;Londres;Zinedine Zidane;Road;USA;24;45763;Londres;Voltaire;Boulevard;France
Adelind;Bernard;24;7;1945;Charles;77;16832;Madrid;Royale;Street;Maroc;16;67031;Los Angeles;du Rock;DeadEnd;France
Adeline;CoolName;14;9;2013;Paul;18;55227;Los Angeles;Tahère;Road;Grande-Bretagne;89;38423;Marseilles;de Ségur;Avenue;USA
Adelphe;Petit;24;6;1942;Paul;29;10927;Cardiff;Denfert;DeadEnd;France;19;53618;Madrid;Pernetti;DeadEnd;USA
Adelphine;Coisne;2;11;1983;Henry;45;19502;Miami;de la pompe;Avenue;Maroc;66;69637;Los Angeles;Charonne;Road;Maroc
